Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,EXX1.DE,^STOXX50E,EXX1.DE,^STOXX50E,EXX1.DE,^STOXX50E,EXX1.DE,^STOXX50E,EXX1.DE,^STOXX50E,EXX1.DE,^STOXX50E
Date,,,,,,,,,,,,
2007-03-30,,4181.02978515625,,4181.02978515625,,4207.759765625,,4160.35009765625,,4177.669921875,,0.0
2007-04-02,,4189.5498046875,,4189.5498046875,,4191.759765625,,4163.77001953125,,4177.31005859375,,0.0
2007-04-03,,4246.2998046875,,4246.2998046875,,4248.06982421875,,4199.5400390625,,4199.5400390625,,0.0
2007-04-04,,4261.830078125,,4261.830078125,,4261.830078125,,4242.0498046875,,4252.7099609375,,0.0
2007-04-05,,4271.5400390625,,4271.5400390625,,4274.169921875,,4253.7900390625,,4259.97998046875,,0.0
2007-04-10,,4301.47021484375,,4301.47021484375,,4307.66015625,,4267.009765625,,4275.68017578125,,0.0
2007-04-11,,4293.2001953125,,4293.2001953125,,4326.7001953125,,4284.919921875,,4298.240234375,,0.0
2007-04-12,,4280.02001953125,,4280.02001953125,,4291.10009765625,,4249.2998046875,,4290.10986328125,,0.0
2007-04-13,,4317.35009765625,,4317.35009765625,,4319.27978515625,,4284.02978515625,,4285.56005859375,,0.0
2007-04-16,,4379.25,,4379.25,,4380.52001953125,,4333.39013671875,,4333.9501953125,,0.0
2007-04-17,,4384.3798828125,,4384.3798828125,,4391.27978515625,,4348.6201171875,,4374.35986328125,,0.0
2007-04-18,,4358.9501953125,,4358.9501953125,,4377.77978515625,,4338.509765625,,4377.77978515625,,0.0
2007-04-19,,4339.93017578125,,4339.93017578125,,4339.93017578125,,4288.10986328125,,4330.35986328125,,0.0
2007-04-20,,4416.7900390625,,4416.7900390625,,4431.330078125,,4350.669921875,,4350.669921875,,0.0
2007-04-23,,4400.1201171875,,4400.1201171875,,4428.419921875,,4390.93994140625,,4416.06982421875,,0.0
2007-04-24,,4367.830078125,,4367.830078125,,4402.85986328125,,4348.68994140625,,4399.169921875,,0.0
2007-04-25,,4404.43994140625,,4404.43994140625,,4415.9599609375,,4380.58984375,,4380.58984375,,0.0
